SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Regular price,Categories,Tags,Shipping class,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type
1,simple,fha0001,Midea MSM 12 HRI Inveter Split Type Air Conditoner - 1 Ton,1,1,visible,"Power Supply V~, Hz, Ph: 220-240, 50, 1
Inverter Type: 3D DC
Cooling Capacity Rated Btu/h: 12000
Cooling Capacity Rated kW: 7.0
SEER W/W: 6.2
SCOP Avg./Warm/Cold W/W: 4.0/5.1/--
Tol °C: -15","Midea MSM12 1 Ton Air Conditioner can be a perfect choice for you and your family with its cutting-edge features. This 1 ton AC can be a suitable addition to your home or your office during those hot summer months.

The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called «Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons. Units at Mission series are available as a split system with inverter-type compressor and capacities 9,12,18,24 Btu/h, with a special new “Diamond” design of the outdoor unit, as well as the indoor units of multi-split “Free-match” DC-inverter systems, with a capacity 9, 12, 18 Btu/h.",1,0,1,Thanks for purchasing,35000,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,"media-1-ton-air-conditioner-2_1_2_2.jpg, media-1-ton-air-conditioner-7_1_2_2.jpg, media-1-ton-air-conditioner-1_1_2_2.jpg, media-1-ton-air-conditioner-6_1_2_2 (2).jpg, media-1-ton-air-conditioner-3_1_2_2.jpg",0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 12,1,1,BTU/h & Type,12000 BTU/h SPLIT TYPE,1,1,yes,percentage
2,simple,fha0002,Midea MSM 18 HRI Inveter Split Type Air Conditoner- 1.5 Ton,1,1,visible,"Power Supply: 1Ph,220~230V, 50Hz
Control: Remote
Function: Cooling
Capacity (BTU/h) :18000
Input Watt: 1800
Air Flow (m3 /h) :530","Midea MSM18 1.5 Ton Air Conditioner can be a perfect choice for you and your family with its cutting-edge features. This 1.5 ton AC can be a suitable addition to your home or your office during those hot summer months.

The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called «Arctic Fox – including setting with indoor units.

Indoor Unit Air Flow Volume m3/h: 1080/850/600 Sound Pressure Noise Level H/M/L dB(A): 48/43/39 Outdoor Sound Power Noise Level Hi dB(A): 64 Sound Pressure Noise Level Hi dB(A): 62 Sound Power Noise Level Hi dB(A): 69",1,0,1,Thanks for purchasing,42000,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,"media-1-ton-air-conditioner-2_1_1_1_1.jpg, media-1-ton-air-conditioner-3_1_1_1_1.jpg, media-1-ton-air-conditioner-6_1_1_1_1 - Copy.jpg, media-1-ton-air-conditioner-7_1_1_1_1.jpg",0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 18,1,1,BTU/h & Type,18000 BTU/h SPLIT TYPE,1,1,yes,percentage
3,simple,fha0003,Midea MSM 24 HRI Inveter Split Type Air Conditoner - 2 Ton,1,1,visible,"Model: MSM-24HRI
Capacity: 2 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 24000 btu
Heating Capacity: 26000 btu
Max Input consumption: 3700w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).",1,0,1,Thanks for purchasing,56000,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,Midea_Split.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 24,1,1,BTU/h & Type,24000 BTU/h SPLIT TYPE,1,1,yes,percentage
4,simple,fha0004,Midea MSA 30 CRN1 Non Inveter Split Type Air Conditoner - 2.5 Ton,1,1,visible,"Model: MSA-30CRN1
Capacity: 2.5 ton
Power Supply: 220-240V- 50Hz, 1Ph
Cooling Capacity: 30000 btu
Max Input consumption: 4500W
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons. This type of air conditioners is the most popular as a compressor and a condenser cooling fan are separated from the evaporator blower.",1,0,1,Thanks for purchasing,71550,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,Midea_Split.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSA 30 CRN1,1,1,BTU/h & Type,30000 BTU/h SPLIT TYPE,1,1,yes,percentage
5,simple,fha0005,Midea MSM 12 HRI Inveter Split Type Air Conditoner - 1 Ton,1,1,visible,"Model: MSM-12 HRI
Capacity: 1 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 12000 btu
Heating Capacity: 13000 btu
Max Input consumption: 2050w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).",1,0,1,Thanks for purchasing,39150,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,Midea_Split.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 12 HRI,1,1,BTU/h & Type,12000 BTU/h SPLIT TYPE INVERTER,1,1,yes,percentage
6,simple,fha0006,Midea MSM 18 HRI Inveter Split Type Air Conditoner- 1.5 Ton,1,1,visible,"Model: MSM-18HRI
Capacity: 1.5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 18000 btu
Heating Capacity: 19000 btu
Max Input consumption: 2750w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).",1,0,1,Thanks for purchasing,49950,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,Midea_Split.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 18 HRI,1,1,BTU/h & Type,18000 BTU/h SPLIT TYPE INVERTER,1,1,yes,percentage
7,simple,fha0007,Midea MSM 24 HRI Inveter Split Type Air Conditoner - 2 Ton,1,1,visible,"Model: MSM-24HRI
Capacity: 2 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 24000 btu
Heating Capacity: 26000 btu
Max Input consumption: 3700w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).",1,0,1,Thanks for purchasing,63450,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,Midea_Split.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MSM 24 HRI,1,1,BTU/h & Type,24000 BTU/h SPLIT TYPE INVERTER,1,1,yes,percentage
8,simple,fha0008,Midea MUB-36CR Ceiling Type Air Conditoner - 3 Ton,1,1,visible,"Model: MUB 36 CRN1
Capacity: 3 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 36000 btu
Compressor Type: Rotary
Remote Control","MIDEA 3.0 TON CEILING TYPE AC

Brand: MIDEA

Origin: CHINA 

Assembled: CHINA 

Condition: Brand New

Type: Split Ceiling

Capacity: 36000BTU/Hr

Coverage- 250 - 360 Sqft

Some feature:

Auto Fan Speed

Auto Mode

Auto Swing

Sleep Mode

Remote Screen Display Light",1,0,1,Thanks for purchasing,94500,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,ceiling.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MUB 36 CRN1,1,1,BTU/h & Type,36000 BTU/h CEILING TYPE,1,1,yes,percentage
9,simple,fha0009,Midea MUB-48CR Ceiling Type Air Conditoner - 4 Ton,1,1,visible,"Model: MUB 48 CRN1
Capacity: 4 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 48000 btu
Compressor Type: Rotary
Remote Control","Model: MUB 48 CRN1
Capacity: 4 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 48000 btu
Compressor Type: Rotary
Remote Control",1,0,1,Thanks for purchasing,108000,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,ceiling.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MUB 48 CRN1,1,1,BTU/h & Type,48000 BTU/h CEILING TYPE,1,1,yes,percentage
10,simple,fha0010,Midea MUB-60CR Ceiling Type Air Conditoner - 5 Ton,1,1,visible,"Model: MUB 60 CRN1
Capacity: 5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 60000 btu
Compressor Type: Rotary
Remote Control","Model: MUB 60 CRN1
Capacity: 5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 60000 btu
Compressor Type: Rotary
Remote Control",1,0,1,Thanks for purchasing,130000,"Flow &amp; Level Control > Heating &amp; Cooling > Air Conditioners, Home Appliances > Air Conditioner","AC, air conditioner, midea",Dhaka Only,ceiling.jpg,0,Country of Manufacture,China,1,1,Color,White,1,Brand,MIDEA,1,1,Warranty Information,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,1,1,Model,MUB 60 CRN1,1,1,BTU/h & Type,60000 BTU/h CEILING TYPE,1,1,yes,percentage
